"Référence Produit";ISBN;"Nom Produit";"Quantité en Stock";"Quantité Vendue January 2025";"Quantité Vendue 01 Feb 2024 - 31 Jan 2025XXX"
169-UNITE;978-2-491255-98-5;"Neuvaine Marie qui défait les nœuds pour les couples (Unité)";2320;37;708
189-UNITE;978-2-487056-01-5;"Neuvaine pour l'unité des Chrétiens - Quantité: Unité";364;1;1
189-UNITE;978-2-487056-01-5;"Neuvaine pour l'unité des Chrétiens - Quantité: Lot de 5";20;0;0
37-UNITE;978-2-35689-086-3;"Neuvaine pour la famille - Marie qui défait les nœuds (Unité)";-4;0;0
36-UNITE;978-2-35689-084-9;"Neuvaine pour le travail - Marie qui défait les nœuds (Unité)";264;0;126
42-UNITE;978-2-35689-085-6;"Neuvaine pour les malades - Marie qui défait les nœuds (Unité)";-5;0;0
107-UNITE;978-2-491255-60-2;"Neuvaine pour méditer l'Annonciation (Unité)";393;3;29
134-UNITE;978-2491255-70-1;"Neuvaine Prions Marie pour la paix - Quantité: Unité";991;4;6
134-UNITE;978-2491255-70-1;"Neuvaine Prions Marie pour la paix - Quantité: Lot de 5";19;0;1
81-UNITE;978-2-491255-35-0;"Neuvaine sur les pas de Bernadette pour redire « oui » à Dieu avec Marie (Unité)";4499;2;173
243-UNITE;978-35389-488-8;"Notre Dame de Guadalupe (Unité)";14;1;16
60-UNITE;978-2-35689-015-3;"Notre Dame qui défait les nœuds - Le cadeau du pape François au monde (Unité)";370;3;74
84-UNITE;978-2-491255-34-3;"Notre Histoire avec Marie (Unité)";143;11;133
167-UNITE;978-2-487056-43-5;"Notre Histoire avec Marie_nouvelle version Notre Dame - Quantité: Lot de 3";120;1;28
167-UNITE;978-2-487056-43-5;"Notre Histoire avec Marie_nouvelle version Notre Dame - Quantité: Unité";936;371;478
211-UNITE;978-2-7403-1786-0;"Notre-Dame du Mont Carmel et son scapulaire (Unité)";0;0;17
DON;;"Nous diffusons gratuitement nos livrets missionnaires. Pouvez-vous nous aider dans cette œuvre d’évangélisation par un don ? (Unité)";999948;0;52
71-UNITE;978-235689-001-6;"Novena a Maria che scioglie i nodi (IT) (Unité)";1660;0;143
204-UNITE;978-2-7403-2520-9;"Oeuvres complètes de St Louis-Marie Grignion de Montfort (Unité)";7;0;3
267-PACK1000RC;;"Pack Magazines 1000 raisons de croire n°6 et n°7 (Unité)";30;0;0
259-PACKBD;;"Pack missionnaire 7 bandes dessinées ""1000 raisons de croire"" + 50 livrets missionnaires offerts (Unité)";11;1;4
64-LOT10;;"Pack of 10 bookmarks (EN) (Unité)";74;0;1
54-LOT10;978-2-35689-012-2;"Paquet de 10 signets Marie qui défait les nœuds (Unité)";3;0;28
63-LOT10;;"Paquete de diez ejemplares ""Maria, desata de nudos"" (ES) (Unité)";89;0;0
239-UNITE;9782353890378;"Parle-moi de Marie (Arrêt commercial) (Unité)";0;0;0
206-UNITE;978-2-7403-2251-2;"Paroles de Marie.....Paroles de Jésus ! (Unité)";0;0;15
244-UNITE;978-2-38433-124-6;"Pluie de roses (Unité)";13;2;17
75-UNITE;;"Porte-clef Marie qui défait les nœuds (Unité)";0;0;13
68-UNITE;;"Postal ""Maria escucha mis ruegos"" (ES) (Unité)";939;0;0
67-UNITE;;"Postcard ""Mary Hear my Prayer"" (EN) (Unité)";823;0;100
221-UNITE;979-10-336-1497-5;"Pourquoi la vierge Marie agit dans le monde aujourd'hui (Unité)";40;1;10
184-UNITE;978-2-7067-08-29-9;"Présence de Marie (Unité)";40;0;4
192-UNITE;0710497232234;"Puzzle Marie qui défait les Noeuds (Unité)";71;9;346
159-UNITE;;"Réponse à Jean Staune ?? (Unité)";0;0;0
194-UNITE;978-2-36463-158-8;"Rosaire de la vierge Marie en l'honneur du Saint Pape Jean Paul II (Unité)";31;0;13
238-UNITE;978-2-35389-606-6;"Saint Louis-Marie Grignion de Montfort (Unité)";15;0;15
65-LOT10;;"Segnalibro Confezione di 10 esemplari (IT) (Unité)";97;0;0
224-UNITE;978-2-487056-15-2;"Setbon - racines juives de l’incarnation (Unité)";0;0;0
155-UNITE;978-2-491255-82-4;"Signet à la Miséricorde Divine - Quantité: Unité";24;4;61
155-UNITE;978-2-491255-82-4;"Signet à la Miséricorde Divine - Quantité: Lot de 10 (-50%)";119;2;58
151-UNITE;978-2-491255-84-8;"Signet Marie qui défait les Noeuds ""Nouvelle version"" - Quantité: Unité";19948;9;59
151-UNITE;978-2-491255-84-8;"Signet Marie qui défait les Noeuds ""Nouvelle version"" - Quantité: Lot de 10 (-50%)";11;2;107
116-UNITE;978-2-491255-51-0;"Soyez rationnel, devenez catholique - Quantité: Unité";129;140;400
116-UNITE;978-2-491255-51-0;"Soyez rationnel, devenez catholique - Quantité: Lot de 3";7;0;3
152-UNITE;978-2-491255-86-2;"Soyez rationnel, devenez catholique ""Edition abrégée"" - Quantité: Unité";536;53;213
152-UNITE;978-2-491255-86-2;"Soyez rationnel, devenez catholique ""Edition abrégée"" - Quantité: Lot de 4";9;1;3
191-UNITE;978-2-487056-03-9;"Soyez rationnel, devenez catholique_version missionnaire (Unité)";0;0;0
48-UNITE;;"Statue Marie qui défait les nœuds - 22 cm (Unité)";1;1;1
74-UNITE;;"Statuette Marie qui défait les nœuds - 11,5cm (Unité)";30;2;26
248-UNITE;978-2-487056-24-4;"Thérèse de Lisieux et vous ""Je suis ta sœur et ton amie"" - Quantité: Lot de 10 (-30%)";46;5;143
248-UNITE;978-2-487056-24-4;"Thérèse de Lisieux et vous ""Je suis ta sœur et ton amie"" - Quantité: Unité";1705;188;2398
154-UNITE;978-2-491255-88-6;"Traité de la vraie dévotion à la Sainte Vierge - Quantité: Lot de 4";7;1;3
154-UNITE;978-2-491255-88-6;"Traité de la vraie dévotion à la Sainte Vierge - Quantité: Unité";144;63;239
179-UNITE;979-10-336-1256-8;"Trésors de la spiritualité chrétienne: la Vierge Marie (Unité)";61;0;22
108-UNITE;;"Unité - Flyers 100 étoiles (Unité)";0;0;0
E-MAG1000RC06;;"Version numérique_Magazine 1000 raisons de croire n°6 (Unité)";201;0;0
E-167;;"Version numérique_Notre Histoire avec Marie (Unité)";9999;0;0
178-UNITE;978-2-385500-35-1;"Vie intérieure de la très sainte Vierge (Unité)";21;1;32
