"Référence Produit";ISBN;"Nom Produit";"Quantité en Stock";"Quantité Vendue February 2025";"Quantité Vendue 01 Mar 2024 - 28 Feb 2025XXX"
169-UNITE;978-2-491255-98-5;"Neuvaine Marie qui défait les nœuds pour les couples (Unité)";2314;67;693
189-UNITE;978-2-487056-01-5;"Neuvaine pour l'unité des Chrétiens - Quantité: Unité";364;11;12
189-UNITE;978-2-487056-01-5;"Neuvaine pour l'unité des Chrétiens - Quantité: Lot de 5";20;0;0
37-UNITE;978-2-35689-086-3;"Neuvaine pour la famille - Marie qui défait les nœuds (Unité)";-4;0;0
36-UNITE;978-2-35689-084-9;"Neuvaine pour le travail - Marie qui défait les nœuds (Unité)";264;0;94
42-UNITE;978-2-35689-085-6;"Neuvaine pour les malades - Marie qui défait les nœuds (Unité)";-5;0;0
107-UNITE;978-2-491255-60-2;"Neuvaine pour méditer l'Annonciation (Unité)";393;1;30
134-UNITE;978-2491255-70-1;"Neuvaine Prions Marie pour la paix - Quantité: Unité";991;4;10
134-UNITE;978-2491255-70-1;"Neuvaine Prions Marie pour la paix - Quantité: Lot de 5";19;0;1
81-UNITE;978-2-491255-35-0;"Neuvaine sur les pas de Bernadette pour redire « oui » à Dieu avec Marie (Unité)";4499;9;170
243-UNITE;978-35389-488-8;"Notre Dame de Guadalupe (Unité)";14;0;16
60-UNITE;978-2-35689-015-3;"Notre Dame qui défait les nœuds - Le cadeau du pape François au monde (Unité)";370;5;75
84-UNITE;978-2-491255-34-3;"Notre Histoire avec Marie (Unité)";142;3;125
167-UNITE;978-2-487056-43-5;"Notre Histoire avec Marie_nouvelle version Notre Dame - Quantité: Lot de 3";119;1;29
167-UNITE;978-2-487056-43-5;"Notre Histoire avec Marie_nouvelle version Notre Dame - Quantité: Unité";931;21;499
211-UNITE;978-2-7403-1786-0;"Notre-Dame du Mont Carmel et son scapulaire (Unité)";0;0;14
DON;;"Nous diffusons gratuitement nos livrets missionnaires. Pouvez-vous nous aider dans cette œuvre d’évangélisation par un don ? (Unité)";999948;0;52
71-UNITE;978-235689-001-6;"Novena a Maria che scioglie i nodi (IT) (Unité)";1660;10;153
204-UNITE;978-2-7403-2520-9;"Oeuvres complètes de St Louis-Marie Grignion de Montfort (Unité)";7;0;3
267-PACK1000RC;;"Pack Magazines 1000 raisons de croire n°6 et n°7 (Unité)";17;12;12
259-PACKBD;;"Pack missionnaire 7 bandes dessinées ""1000 raisons de croire"" + 50 livrets missionnaires offerts (Unité)";11;0;4
64-LOT10;;"Pack of 10 bookmarks (EN) (Unité)";73;1;2
54-LOT10;978-2-35689-012-2;"Paquet de 10 signets Marie qui défait les nœuds (Unité)";3;0;28
63-LOT10;;"Paquete de diez ejemplares ""Maria, desata de nudos"" (ES) (Unité)";89;0;0
239-UNITE;9782353890378;"Parle-moi de Marie (Arrêt commercial) (Unité)";0;0;0
206-UNITE;978-2-7403-2251-2;"Paroles de Marie.....Paroles de Jésus ! (Unité)";0;0;10
244-UNITE;978-2-38433-124-6;"Pluie de roses (Unité)";12;1;18
75-UNITE;;"Porte-clef Marie qui défait les nœuds (Unité)";0;0;10
68-UNITE;;"Postal ""Maria escucha mis ruegos"" (ES) (Unité)";939;0;0
67-UNITE;;"Postcard ""Mary Hear my Prayer"" (EN) (Unité)";813;10;110
221-UNITE;979-10-336-1497-5;"Pourquoi la vierge Marie agit dans le monde aujourd'hui (Unité)";40;0;10
184-UNITE;978-2-7067-08-29-9;"Présence de Marie (Unité)";40;0;2
192-UNITE;0710497232234;"Puzzle Marie qui défait les Noeuds (Unité)";70;6;352
159-UNITE;;"Réponse à Jean Staune ?? (Unité)";0;0;0
194-UNITE;978-2-36463-158-8;"Rosaire de la vierge Marie en l'honneur du Saint Pape Jean Paul II (Unité)";31;0;5
238-UNITE;978-2-35389-606-6;"Saint Louis-Marie Grignion de Montfort (Unité)";14;1;16
65-LOT10;;"Segnalibro Confezione di 10 esemplari (IT) (Unité)";97;0;0
224-UNITE;978-2-487056-15-2;"Setbon - racines juives de l’incarnation (Unité)";0;0;0
155-UNITE;978-2-491255-82-4;"Signet à la Miséricorde Divine - Quantité: Unité";20;1;61
155-UNITE;978-2-491255-82-4;"Signet à la Miséricorde Divine - Quantité: Lot de 10 (-50%)";116;8;47
151-UNITE;978-2-491255-84-8;"Signet Marie qui défait les Noeuds ""Nouvelle version"" - Quantité: Unité";19943;5;52
151-UNITE;978-2-491255-84-8;"Signet Marie qui défait les Noeuds ""Nouvelle version"" - Quantité: Lot de 10 (-50%)";8;5;99
116-UNITE;978-2-491255-51-0;"Soyez rationnel, devenez catholique - Quantité: Unité";123;151;551
116-UNITE;978-2-491255-51-0;"Soyez rationnel, devenez catholique - Quantité: Lot de 3";7;0;3
152-UNITE;978-2-491255-86-2;"Soyez rationnel, devenez catholique ""Edition abrégée"" - Quantité: Unité";532;65;279
152-UNITE;978-2-491255-86-2;"Soyez rationnel, devenez catholique ""Edition abrégée"" - Quantité: Lot de 4";9;0;6
191-UNITE;978-2-487056-03-9;"Soyez rationnel, devenez catholique_version missionnaire (Unité)";0;0;0
48-UNITE;;"Statue Marie qui défait les nœuds - 22 cm (Unité)";1;0;1
74-UNITE;;"Statuette Marie qui défait les nœuds - 11,5cm (Unité)";29;1;28
248-UNITE;978-2-487056-24-4;"Thérèse de Lisieux et vous ""Je suis ta sœur et ton amie"" - Quantité: Lot de 10 (-30%)";42;3;146
248-UNITE;978-2-487056-24-4;"Thérèse de Lisieux et vous ""Je suis ta sœur et ton amie"" - Quantité: Unité";1689;127;2525
154-UNITE;978-2-491255-88-6;"Traité de la vraie dévotion à la Sainte Vierge - Quantité: Lot de 4";6;1;4
154-UNITE;978-2-491255-88-6;"Traité de la vraie dévotion à la Sainte Vierge - Quantité: Unité";134;124;363
179-UNITE;979-10-336-1256-8;"Trésors de la spiritualité chrétienne: la Vierge Marie (Unité)";60;1;20
108-UNITE;;"Unité - Flyers 100 étoiles (Unité)";0;0;0
E-MAG1000RC06;;"Version numérique_Magazine 1000 raisons de croire n°6 (Unité)";201;0;0
E-167;;"Version numérique_Notre Histoire avec Marie (Unité)";9999;0;0
178-UNITE;978-2-385500-35-1;"Vie intérieure de la très sainte Vierge (Unité)";21;0;29
