"Référence Produit";ISBN;"Nom Produit";"Quantité en Stock";"Quantité Vendue December 2024";"Quantité Vendue 01 Jan 2024 - 31 Dec 2024XXX"
134-UNITE;978-2491255-70-1;"Neuvaine Prions Marie pour la paix - Quantité: Lot de 5";19;1;1
81-UNITE;978-2-491255-35-0;"Neuvaine sur les pas de Bernadette pour redire « oui » à Dieu avec Marie (Unité)";4500;59;196
243-UNITE;978-35389-488-8;"Notre Dame de Guadalupe (Unité)";15;2;15
60-UNITE;978-2-35689-015-3;"Notre Dame qui défait les nœuds - Le cadeau du pape François au monde (Unité)";372;8;84
84-UNITE;978-2-491255-34-3;"Notre Histoire avec Marie (Unité)";122;22;142
167-UNITE;978-2-487056-43-5;"Notre Histoire avec Marie_nouvelle version Notre Dame - Quantité: Lot de 3";123;10;27
167-UNITE;978-2-487056-43-5;"Notre Histoire avec Marie_nouvelle version Notre Dame - Quantité: Unité";939;73;105
211-UNITE;978-2-7403-1786-0;"Notre-Dame du Mont Carmel et son scapulaire (Unité)";0;0;18
DON;;"Nous diffusons gratuitement nos livrets missionnaires. Pouvez-vous nous aider dans cette œuvre d’évangélisation par un don ? (Unité)";999948;20;52
71-UNITE;978-235689-001-6;"Novena a Maria che scioglie i nodi (IT) (Unité)";1679;115;173
204-UNITE;978-2-7403-2520-9;"Oeuvres complètes de St Louis-Marie Grignion de Montfort (Unité)";7;0;3
259-PACKBD;;"Pack missionnaire 7 bandes dessinées ""1000 raisons de croire"" + 50 livrets missionnaires offerts (Unité)";12;0;3
64-LOT10;;"Pack of 10 bookmarks (EN) (Unité)";86;0;1
54-LOT10;978-2-35689-012-2;"Paquet de 10 signets Marie qui défait les nœuds (Unité)";3;0;28
63-LOT10;;"Paquete de diez ejemplares ""Maria, desata de nudos"" (ES) (Unité)";99;0;0
239-UNITE;9782353890378;"Parle-moi de Marie (Arrêt commercial) (Unité)";0;0;0
206-UNITE;978-2-7403-2251-2;"Paroles de Marie.....Paroles de Jésus ! (Unité)";0;1;15
244-UNITE;978-2-38433-124-6;"Pluie de roses (Unité)";14;9;15
75-UNITE;;"Porte-clef Marie qui défait les nœuds (Unité)";0;0;13
68-UNITE;;"Postal ""Maria escucha mis ruegos"" (ES) (Unité)";958;0;0
67-UNITE;;"Postcard ""Mary Hear my Prayer"" (EN) (Unité)";833;0;100
221-UNITE;979-10-336-1497-5;"Pourquoi la vierge Marie agit dans le monde aujourd'hui (Unité)";41;1;9
184-UNITE;978-2-7067-08-29-9;"Présence de Marie (Unité)";40;1;5
192-UNITE;0710497232234;"Puzzle Marie qui défait les Noeuds (Unité)";75;31;337
159-UNITE;;"Réponse à Jean Staune ?? (Unité)";0;0;0
194-UNITE;978-2-36463-158-8;"Rosaire de la vierge Marie en l'honneur du Saint Pape Jean Paul II (Unité)";32;0;13
238-UNITE;978-2-35389-606-6;"Saint Louis-Marie Grignion de Montfort (Unité)";15;1;15
65-LOT10;;"Segnalibro Confezione di 10 esemplari (IT) (Unité)";118;0;0
224-UNITE;978-2-487056-15-2;"Setbon - racines juives de l’incarnation (Unité)";0;0;0
155-UNITE;978-2-491255-82-4;"Signet à la Miséricorde Divine - Quantité: Unité";84;0;57
155-UNITE;978-2-491255-82-4;"Signet à la Miséricorde Divine - Quantité: Lot de 10 (-50%)";120;1;56
151-UNITE;978-2-491255-84-8;"Signet Marie qui défait les Noeuds ""Nouvelle version"" - Quantité: Unité";18765;2;51
151-UNITE;978-2-491255-84-8;"Signet Marie qui défait les Noeuds ""Nouvelle version"" - Quantité: Lot de 10 (-50%)";21;9;108
116-UNITE;978-2-491255-51-0;"Soyez rationnel, devenez catholique - Quantité: Unité";126;260;260
116-UNITE;978-2-491255-51-0;"Soyez rationnel, devenez catholique - Quantité: Lot de 3";7;3;3
152-UNITE;978-2-491255-86-2;"Soyez rationnel, devenez catholique ""Edition abrégée"" - Quantité: Unité";519;157;160
152-UNITE;978-2-491255-86-2;"Soyez rationnel, devenez catholique ""Edition abrégée"" - Quantité: Lot de 4";13;1;2
191-UNITE;978-2-487056-03-9;"Soyez rationnel, devenez catholique_version missionnaire (Unité)";0;0;0
48-UNITE;;"Statue Marie qui défait les nœuds - 22 cm (Unité)";2;0;0
74-UNITE;;"Statuette Marie qui défait les nœuds - 11,5cm (Unité)";35;9;23
248-UNITE;978-2-487056-24-4;"Thérèse de Lisieux et vous ""Je suis ta sœur et ton amie"" - Quantité: Lot de 10 (-30%)";51;11;138
248-UNITE;978-2-487056-24-4;"Thérèse de Lisieux et vous ""Je suis ta sœur et ton amie"" - Quantité: Unité";1635;1124;2208
154-UNITE;978-2-491255-88-6;"Traité de la vraie dévotion à la Sainte Vierge - Quantité: Lot de 4";13;2;2
154-UNITE;978-2-491255-88-6;"Traité de la vraie dévotion à la Sainte Vierge - Quantité: Unité";192;160;174
179-UNITE;979-10-336-1256-8;"Trésors de la spiritualité chrétienne: la Vierge Marie (Unité)";61;0;24
108-UNITE;;"Unité - Flyers 100 étoiles (Unité)";0;0;0
E-MAG1000RC06;;"Version numérique_Magazine 1000 raisons de croire n°6 (Unité)";200;0;0
E-167;;"Version numérique_Notre Histoire avec Marie (Unité)";9999;0;0
178-UNITE;978-2-385500-35-1;"Vie intérieure de la très sainte Vierge (Unité)";22;1;32
